Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
[Redacted] BS,[Redacted] > Above Monkey Bar > Gateway Canyon Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/116621121/redacted,3.8,-1,Boulder,V9,1,15,36.16191,-115.41246
Your Project,Warm-up Boulders Main > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/106657484/your-project,3,-1,Boulder,V5,1,,36.15949,-115.41688
The Sting,The Sting > (15) Windy Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/108022151/the-sting,3.8,-1,Boulder,V4,1,10,36.01573,-115.46059
The Offering Scam,Tsunami Boulder > Red Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107453246/the-offering-scam,2.7,-1,Boulder,V3,1,15,36.14773,-115.42215
Wave Direct,The Wave Boulder > (04) The Pearl Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/115962906/wave-direct,2.3,-1,Boulder,V3,1,10,36.15948,-115.41463
Heart and Sole Left,Heart and Sole > (01) West Cluster > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/120120004/heart-and-sole-left,2.8,-1,Boulder,V2,1,15,36.16079,-115.42375
Amazing Grace,Tsunami Boulder > Red Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/114381509/amazing-grace,3.4,-1,Boulder,V5,1,15,36.14773,-115.42215
Mr. Smiley,Mr. Smiley Boulders > Ash Canyon > Ash Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/116666615/mr-smiley,3.8,-1,Boulder,V6,1,,36.1611,-115.43209
Scare Tactics Right,Bubble Butt Boulder > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/111214422/scare-tactics-right,3.4,-1,Boulder,V9,1,,36.15985,-115.41568
Donkey Punch,Warm-up Boulders Main > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107396283/donkey-punch,2.5,-1,Boulder,V5+,1,12,36.15949,-115.41688
Picante Left,Picante Sauce > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107400755/picante-left,2.5,-1,Boulder,V1,1,10,36.1597,-115.41648
The Fountainhead,The Fountainhead > (14) Black Velvet Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/112560986/the-fountainhead,4,-1,Boulder,V9,1,,36.03627,-115.46189
The Little V4,Natasha's Highball Boulder > (14) Black Velvet Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/112560964/the-little-v4,3.1,-1,Boulder,V4,1,10,36.03624,-115.46338
Tilt Shift,Tilt Shift Boulder > Beehive Knoll Area > (10) Oak Creek Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/116657717/tilt-shift,4,-1,Boulder,V9,1,15,36.09414,-115.47725
The Red Wave,Tsunami Boulder > Red Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/116596015/the-red-wave,3.6,-1,Boulder,V10,1,12,36.14773,-115.42215
St. Louis,20 Degree Wall > Main Cluster > Red Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107338317/st-louis,2.6,3,Boulder,V4-5,1,12,36.14352,-115.42035
Big K,Hot Tub Club > (05) East Cluster > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107414804/big-k,3.5,-1,Boulder,V8,1,15,36.15988,-115.41296
The Dead Heart,Outback Boulder > Gateway Canyon Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107385768/the-dead-heart,3.2,-1,Boulder,V4,1,20,36.16281,-115.40549
Name Plate,Name Plate Boulder > (06) Willow Springs Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/111389644/name-plate,2.7,-1,Boulder,V4+,1,10,36.16005,-115.49499
Cyclops,Snake Eyes > (05) East Cluster > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107406873/cyclops,2.4,-1,Boulder,V5-,1,12,36.16019,-115.41289
Memento Vitae,Memento Mori boulder > Gateway Canyon Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/114279950/memento-vitae,3.6,-1,Boulder,V6-,1,,36.16375,-115.41273
Desert-erada,Desert-erada Boulder > Ash Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/108696801/desert-erada,3.8,-1,Boulder,V2,1,12,36.15832,-115.43105
Monkey Bar Direct Right,Monkey Bar Boulder > (05) East Cluster > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/112381021/monkey-bar-direct-right,3.3,-1,Boulder,V9,1,15,36.16154,-115.41099
Sad Robot,Sad Robot > Mystery Canyon > (06) Willow Springs Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/118291688/sad-robot,3.1,-1,Boulder,V8,1,8,36.15982,-115.5007
Ride the White Horse,Ride the White Horse > Red Rock Wash > (06) Willow Springs Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/120237827/ride-the-white-horse,3.7,-1,Boulder,V10,1,12,36.16302,-115.50815
Drunken Monkey,Drunken Monkey Boulder > (10) Oak Creek Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107529442/drunken-monkey,3.4,-1,Boulder,V7,1,,36.10888,-115.48002
Kentucky Derby,Lucky Socks Boulder > Ash Canyon > Ash Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/121968060/kentucky-derby,4,-1,Boulder,V10,1,,36.16256,-115.43501
Monkey Trench,Red Spring (aka Turtle Shell) Boulder > Main Cluster > Red Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/113749650/monkey-trench,2.6,-1,Boulder,V9-,1,,36.1434,-115.42008
Big Love,The Cube > (02) Cube Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/112430327/big-love,3.3,-1,Boulder,V4,1,30,36.15974,-115.41913
Wet Dream Right,Wet Dream Boulder > (14) Black Velvet Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/111196645/wet-dream-right,3.9,-1,Boulder,V11,1,,36.03603,-115.46282
Kraft Dinner Right,$600 Boulder > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/112473640/kraft-dinner-right,3.1,-1,Boulder,V7,1,,36.16003,-115.41704
Lethal Design,Giant Boulder > Swirly Cliff Boulders > Gateway Canyon Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/115435609/lethal-design,4,-1,Boulder,V12,1,25,36.16533,-115.4144
Charleston Syndrome,Warm-up Boulders Main > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107116919/charleston-syndrome,2.3,-1,Boulder,V3,1,14,36.15949,-115.41688
The Influencer,Influencer Boulder > (02) First Pullout Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/120318821/the-influencer,4,-1,Boulder,V3,1,15,36.14538,-115.42793
Little Pony,Ride the White Horse > Red Rock Wash > (06) Willow Springs Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/113576794/little-pony,3.2,4,Boulder,V5-6,1,12,36.16302,-115.50815
Tigerlily,Tiger Lily Boulder > (02) First Pullout Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/117948269/tigerlily,4,-1,Boulder,V5,1,,36.14402,-115.42582
Wet Dream,Wet Dream Boulder > (14) Black Velvet Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/120262343/wet-dream,4,-1,Boulder,V12,1,,36.03603,-115.46282
Jabberwocky,Jabberwocky > Stick Gully and Beyond > (08) Pine Creek Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/120332064/jabberwocky,3.8,-1,Boulder,V9,1,30,36.12781,-115.48692
Spring Loaded,Red Spring (aka Turtle Shell) Boulder > Main Cluster > Red Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107948857/spring-loaded,3.3,-1,Boulder,V8,1,25,36.1434,-115.42008
Ruby Slipper,Ruby Boulder > Ruby Slipper Area > Ash Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/118294152/ruby-slipper,3.8,-1,Boulder,V8,1,30,36.15729,-115.42862
Ode to the Modern Mayor,Stampede > Red Rock Wash > (06) Willow Springs Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/120504436/ode-to-the-modern-mayor,3.7,-1,Boulder,V9,1,,36.1621,-115.50913
Areet's Arête,Areet's Arete > The Dirty Rail Area > Little Springs Canyon Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/118206171/areets-arete,4,-1,Boulder,V3,1,16,36.15501,-115.4305
Bonsai,Bonsai Boulder > (06) Willow Springs Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/123379486/bonsai,3,-1,Boulder,V7,1,,36.1597,-115.49611
